,random,solver,dist
0,895.2583,941.9123,753.8178
1,437.9341,430.3767,269.699
2,565.0199,455.3183,379.66
3,629.2051,527.9301,438.1455
4,652.9153,268.4126,278.9071
5,898.8114,562.7501,513.2458
6,371.8172,288.2622,219.8917
7,616.2928,322.2727,308.8089
8,357.9525,249.5095,171.8629
9,413.6849,251.0852,199.994
10,509.3505,428.5355,448.0951
11,722.4398,379.1935,282.4585
12,437.083,325.5442,251.1498
13,485.0117,369.0841,298.8629
14,820.3922,811.4675,670.2696
15,472.3373,321.9718,308.0924
16,705.5231,508.75,396.4346
17,614.3872,514.6249,325.0157
18,663.1655,463.3585,316.791
19,442.5678,303.4854,439.9159
20,444.8998,269.7627,218.834
21,587.5575,318.6172,277.8175
22,442.5678,303.4854,439.9159
23,444.8998,269.7627,218.834
24,587.5575,318.6172,277.8175
25,442.5678,303.4854,439.9159
26,444.8998,269.7627,218.834
27,587.5575,318.6172,277.8175
28,442.5678,303.4854,439.9159
29,444.8998,269.7627,218.834
