,random,solver,dist
0,24.1277,19.2886,24.895
1,10.7315,8.609,7.789
2,20.8663,9.5627,11.575
3,14.4105,10.6579,24.2347
4,15.2044,5.0187,11.8651
5,26.5979,10.3824,17.1695
6,7.5801,7.2123,15.3833
7,13.4924,8.7193,8.3431
8,10.5128,4.427,3.1329
9,9.3917,4.2863,5.5388
10,23.3271,9.2908,33.6084
11,14.0092,8.0787,8.5395
12,19.7972,6.2822,5.2071
13,8.9272,6.2886,5.4305
14,31.6203,26.208,38.8114
15,10.3389,6.2453,5.8831
16,23.7808,13.2914,21.9297
17,18.1274,9.2272,10.0976
18,14.8082,8.6358,18.0651
19,16.6694,8.2437,24.4926
20,11.1613,4.9882,5.4343
21,11.3298,6.0007,8.3626
22,16.6694,8.2437,24.4926
23,11.1613,4.9882,5.4343
24,11.3298,6.0007,8.3626
25,16.6694,8.2437,24.4926
26,11.1613,4.9882,5.4343
27,11.3298,6.0007,8.3626
28,16.6694,8.2437,24.4926
29,11.1613,4.9882,5.4343
